Brand,Model,picture,Price,,,,,,,,,,,,,,,,,,,,,,,
RDP,ThinBook 1430-ECL,https://i.gadgets360cdn.com/products/laptops/large/1546453723_635_rdp_thinbook-1430-ecl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,113.99,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X200MA-KX495B,https://i.gadgets360cdn.com/products/laptops/large/1546455184_635_asus_x200ma-kx495b.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,114.00,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X200MA-KX495B,https://i.gadgets360cdn.com/products/laptops/large/1546455184_635_asus_x200ma-kx495b.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,114.00,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook i360,https://i.gadgets360cdn.com/products/laptops/large/1546452962_635_iball_compbook-i360.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,118.74,,,,,,,,,,,,,,,,,,,,,,,1
iBall,CompBook i360,https://i.gadgets360cdn.com/products/laptops/large/1546452962_635_iball_compbook-i360.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,118.74,,,,,,,,,,,,,,,,,,,,,,,4
iBall,Slide WQ191C,https://i.gadgets360cdn.com/products/laptops/large/1546453015_635_iball_slide-wq191c.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,118.75,,,,,,,,,,,,,,,,,,,,,,,3
iBall,Slide WQ191C,https://i.gadgets360cdn.com/products/laptops/large/1546453015_635_iball_slide-wq191c.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,118.75,,,,,,,,,,,,,,,,,,,,,,,3
RDP,ThinBook 1430B,https://i.gadgets360cdn.com/products/laptops/large/1525207938_635_thinbook-1430b.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,120.65,,,,,,,,,,,,,,,,,,,,,,,2
iBall,CompBook Exemplaire,https://i.gadgets360cdn.com/products/laptops/large/1546455163_635_iball_compbook-exemplaire.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,121.41,,,,,,,,,,,,,,,,,,,,,,,4
RDP,ThinBook 1110,https://i.gadgets360cdn.com/products/laptops/large/1525207934_635_thinbook-1110.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,122.55,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire SW3-16,https://i.gadgets360cdn.com/products/laptops/large/1546452968_635_acer_aspire-sw3-16.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,123.03,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire SW3-16,https://i.gadgets360cdn.com/products/laptops/large/1546452968_635_acer_aspire-sw3-16.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,123.03,,,,,,,,,,,,,,,,,,,,,,,
Acer,Switch SW110-ICT,https://i.gadgets360cdn.com/products/laptops/large/1546456284_635_acer_switch-sw110-ict.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,123.41,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Switch SW110-ICT,https://i.gadgets360cdn.com/products/laptops/large/1546456284_635_acer_switch-sw110-ict.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,123.41,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook Exemplaire Plus,https://i.gadgets360cdn.com/products/laptops/large/1546454236_635_iball_compbook-exemplaire-plus.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,123.49,,,,,,,,,,,,,,,,,,,,,,,3
iBall,Slide WQ149,https://i.gadgets360cdn.com/products/laptops/large/1546455151_635_iball_slide-wq149.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,123.49,,,,,,,,,,,,,,,,,,,,,,,1
iBall,Slide WQ149,https://i.gadgets360cdn.com/products/laptops/large/1546455151_635_iball_slide-wq149.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,123.49,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire SW110-1CT,https://i.gadgets360cdn.com/products/laptops/large/1546454679_635_acer_aspire-sw110-1ct.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,2
Acer,Aspire SW110-1CT,https://i.gadgets360cdn.com/products/laptops/large/1546454679_635_acer_aspire-sw110-1ct.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,2
Asus,EeeBook E203NA-FD020T,https://i.gadgets360cdn.com/products/laptops/large/1546454088_635_asus_eeebook-e203na-fd020t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,2
Asus,EeeBook E203NA-FD020T,https://i.gadgets360cdn.com/products/laptops/large/1546454088_635_asus_eeebook-e203na-fd020t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,EeeBook E203NA-FD026T,https://i.gadgets360cdn.com/products/laptops/large/1546454104_635_asus_eeebook-e203na-fd026t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,EeeBook E203NA-FD026T,https://i.gadgets360cdn.com/products/laptops/large/1546454104_635_asus_eeebook-e203na-fd026t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,1
Asus,EeeBook E203NA-FD088T,https://i.gadgets360cdn.com/products/laptops/large/1546455820_635_asus_eeebook-e203na-fd088t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,4
Asus,EeeBook E203NA-FD087T,https://i.gadgets360cdn.com/products/laptops/large/1546455763_635_asus_eeebook-e203na-fd087t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,3
